data_ref_safra,seller_id,uf,tot_orders_12m,tot_items_12m,tot_items_dist_12m,receita_12m,recencia,nao_revendeu_next_6m
2018-01-01,0015a82c2db000af6aaaf3ae2ecb0532,SP,3,3,1,2685.0,74,1
2018-01-01,001cca7ae9ae17fb1caed9dfb1094831,ES,171,207,9,21275.23000000001,2,0
2018-01-01,002100f778ceb8431b7a1020ff7ab48f,SP,38,42,15,781.7999999999995,2,0
2018-01-01,003554e2dce176b5555353e4f3555ac8,GO,1,1,1,120.0,16,1
2018-01-01,004c9cd9d87a3c30c522c48c4fc07416,SP,130,141,75,16228.879999999976,8,0
2018-01-01,00ab3eff1b5192e5f1a63bcecfee11c8,SP,1,1,1,98.0,288,1
2018-01-01,00ee68308b45bc5e2660cd833c3f81cc,SP,40,49,12,4641.0,2,0
2018-01-01,010543a62bd80aa422851e79a3bc7540,SP,2,2,1,1416.0,151,1
2018-01-01,013900e863eace745d3ec7614cab5b1a,PR,10,13,10,768.6999999999999,9,0
2018-01-01,014c0679dd340a0e338872e7ec85666a,MG,7,7,4,2572.0,17,0
2018-01-01,014d9a685fd57276679edd00e07089e5,PR,1,1,1,69.99,38,0
2018-01-01,0176f73cc1195f367f7b32db1e5b3aa8,SP,3,3,2,559.7,30,0
2018-01-01,01bcc9d254a0143f0ce9791b960b2a47,GO,8,8,2,1105.96,74,0
2018-01-01,01c97ebb5cdac52891c0ed1c37ba0012,SP,5,6,1,176.4,54,0
2018-01-01,01cf7e3d21494c41fb86034f2e714fa1,PR,53,59,21,8323.759999999993,139,0
2018-01-01,01ed254b9ff8407dfb9d99ba1e17d923,SP,5,5,2,1465.99,53,1
2018-01-01,01fdefa7697d26ad920e9e0346d4bd1b,PR,65,66,13,7976.069999999991,10,0
2018-01-01,0241d4d5d36f10f80c644447315af0bd,PR,24,26,12,1474.700000000001,13,0
2018-01-01,0249d282d911d23cb8b869ab49c99f53,SP,10,10,4,371.0,38,0
2018-01-01,024b564ae893ce8e9bfa02c10a401ece,SP,1,2,1,239.0,322,1
2018-01-01,028872bfa080090a9d0abd4f1af168f8,MG,1,3,1,70.5,134,1
2018-01-01,02c988090b766852e088c69d7fb3b551,SP,5,9,5,550.0699999999999,34,0
2018-01-01,02d35243ea2e497335cd0f076b45675d,RN,12,14,2,5246.0,13,0
2018-01-01,02ecc2a19303f05e59ce133fd923fff7,SP,9,11,8,2360.2999999999997,4,0
2018-01-01,02f5837340d7eb4f653d676c7256523a,PR,11,11,1,1487.24,16,0
2018-01-01,0307f7565ff85b299b6e5ef162b1b1a9,SP,5,5,5,4695.0,220,1
2018-01-01,04308b1ee57b6625f47df1d56f00eedf,SC,7,7,5,8305.3,11,0
2018-01-01,0432ead42b6c8a0bdf68154add917fdf,SP,73,78,50,6851.299999999992,1,0
2018-01-01,048c2757535328e0d7dac690ad3c0aae,SP,24,24,12,4366.799999999999,1,0
2018-01-01,04aa0a1c5ce6b222003403a3e11c3cc0,SP,10,16,7,5409.0,93,0
2018-01-01,04aba03279157f6d4e0fe8ccaf21963c,RJ,9,9,7,1454.0,11,0
2018-01-01,04e38a233f726ef161074ab1c9b0399a,SP,12,15,7,571.5,36,0
2018-01-01,04fdea0c111866e6cf812f1570d6b5bd,SP,4,4,2,485.0,15,0
2018-01-01,0509040ea3fe50071181bbc359eb7738,MG,54,60,22,2209.2500000000005,1,0
2018-01-01,052577151711aec5c744fe12e66db3e1,SC,1,1,1,687.0,66,1
2018-01-01,054694fa03fe82cec4b7551487331d74,SP,16,17,11,6681.0,75,0
2018-01-01,056b4ada5bbc2c50cc7842547dda6b51,RJ,4,4,4,995.98,5,0
2018-01-01,058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,3,3,3,276.0,86,0
2018-01-01,058fd0aa2bfdb2274e05e1ae971dabb6,SP,35,36,7,4421.5,11,0
2018-01-01,05a940b4ecae36cadfd8e93bd9c43257,GO,7,7,6,399.30000000000007,4,0
2018-01-01,05d2173d43ea568aa0540eba70d2ca76,MG,12,12,10,1065.68,11,0
2018-01-01,05f51e13da97139648b8125c31e5f51b,MG,54,56,18,11989.619999999988,33,0
2018-01-01,05feb94f19d094d4b0f9281f0b1d4c99,SP,4,4,2,5977.0,4,0
2018-01-01,05ff92fedb5be47920fea08e501238b9,RS,38,41,15,13264.539999999995,3,0
2018-01-01,062ce95fa2ad4dfaedfc79260130565f,RS,54,59,14,7479.099999999995,112,1
2018-01-01,06532f10282704ef4c69168b914b77be,PR,7,8,7,9827.95,134,1
2018-01-01,06579cb253ecd5a3a12a9e6eb6bf8f47,SP,31,31,8,2265.900000000001,16,0
2018-01-01,066a6914e1ebf3ea95a216c73a986b91,PR,41,43,30,6690.2099999999955,21,0
2018-01-01,0691148aee60ca47977c187804f935ae,PR,5,5,5,239.62999999999997,11,0
2018-01-01,06bb3a2fe5e7b7a845b13e8fb91bd944,MG,9,10,9,842.5999999999999,15,0
2018-01-01,06e5eefc71ec47ae763c5c6f8db7064f,RS,22,22,11,4589.72,1,0
2018-01-01,07017df32dc5f2f1d2801e579548d620,PB,7,8,2,797.49,239,1
2018-01-01,070d165398b553f3b4b851c216b8a358,SP,5,6,3,515.94,15,0
2018-01-01,0725b8c0f3f906e58f70cbe76b7c748c,SP,6,15,4,960.2900000000001,267,0
2018-01-01,0747d5bb69f0586cc869d8af4c50f93e,RJ,10,11,9,250.00000000000003,211,1
2018-01-01,0761743cbffb25d7148189e9f1a5f03a,SP,1,5,1,175.79999999999998,29,0
2018-01-01,077c5fae4bea9500e3737b16f71b9d3a,SP,3,3,2,20.4,24,0
2018-01-01,07a9bc7f61396b658ddf3ac534efe44c,SP,1,1,1,119.9,188,1
2018-01-01,07bf9669d84d1f11be443a9dd938f698,SP,11,14,9,1044.0,88,0
2018-01-01,080102cd0a76b09e0dcf55fcacc60e05,MG,18,18,10,811.4200000000001,2,0
2018-01-01,080199a181c46c657dc5aa235411be3b,SP,24,24,18,4203.7599999999975,13,0
2018-01-01,08061dc0fc165ed41288cc7acde738ee,SP,4,4,3,123.80000000000001,44,1
2018-01-01,081acf3de680d554796c9cf041be7bc2,MG,1,1,1,399.5,34,0
2018-01-01,082e0bf4cb865a6533b1e8e498cc0255,SP,4,10,7,753.1,23,0
2018-01-01,08633c14ef2db992c11f840f04fad4cd,SP,3,3,2,226.70000000000002,11,0
2018-01-01,0885aaf116795758dfeb5f1032487bcd,SP,1,1,1,124.9,17,0
2018-01-01,0887a9f087bcd5d9f6642b52f897fc6c,SP,12,12,3,1642.0,148,1
2018-01-01,08d0949a9a17c027262db1f3c450c26c,PR,1,1,1,46.9,132,0
2018-01-01,08d2d642cf72b622b14dde1d2f5eb2f5,SP,16,20,7,908.9999999999999,25,1
2018-01-01,091065b789659bc3cd9af9cb3a6253ff,RS,1,1,1,690.0,75,0
2018-01-01,0936e1837d0c79253456bbb2ffaaef10,SP,1,2,1,38.9,263,1
2018-01-01,093805f8f2aeb63881444571e1f48f30,SP,20,25,17,1171.3900000000003,23,0
2018-01-01,09883d9ab71c8fe8a9bfc7fc3075b07e,SP,4,4,4,269.6,42,1
2018-01-01,099095b050cfe8eb1ddff5317587e96e,SP,1,1,1,829.99,15,0
2018-01-01,09f952a5f58d2285b0372551ae8f9b01,SP,6,7,4,1948.3500000000001,18,0
